name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Table Mountain,North Cascades -- Mount Baker Area,"2.6 miles, roundtrip",725,5700,4.42,Mountain views|Dogs not allowed,"Table Mountain trail offers a variety of nice views, and opportunities to get away from the parking lot crowds at Artist Point. But heed the cautions before you set out.",roundtrip,2.6,North Cascades
Wild Goose,North Cascades -- Mount Baker Area,"1.4 miles, roundtrip",1100,5100,3.25,Mountain views|Dogs allowed on leash|Lakes|Fall foliage,"Hike from the Artist Point parking area to the Heather Meadows Visitor Center and back. With 1,100 feet of elevation gain, you'll have a great thigh workout. Combine Wild Goose with many of the other short trails in the area to make a full day of exploration, or use the Wild Goose trail to access Swift Creek or Lake Ann.",roundtrip,1.4,North Cascades
Cady Creek,Central Cascades -- Stevens Pass - East,"5.2 miles, roundtrip",1300,4300,2.80,Mountain views|Dogs allowed on leash|Good for kids|Ridges/passes,"A trail that can help hikers create multiple loops in the Okanogan-Wenatchee National Forest, the the Cady Creek trail is a steep ascent from the brushy and mucky Cady Creek valley bottom.",roundtrip,5.2,Central Cascades
Carbon Glacier,Mount Rainier Area -- NW - Carbon River/Mowich,"18.4 miles, roundtrip",1800,3500,3.72,Wildflowers/Meadows|Mountain views|Established campsites|Waterfalls|Old growth|Good for kids|Dogs not allowed|Rivers,"The Carbon Glacier is a dramatic expanse of slow-moving ice beneath the shadow of Mount Rainier’s north face. While the glacier sits at a relatively low elevation, the approach is long due to the additional 5 miles of road that must be walked or biked to reach the trailhead. The trail to reach the glacier is equally as exciting as the scenery along the way, including seasonal foot logs and a suspension bridge over the raging Carbon River.",roundtrip,18.4,Mount Rainier Area
Wahclella Falls,Southwest Washington -- Columbia River Gorge - OR,"2.4 miles, roundtrip",350,350,3.00,Wildflowers/Meadows|Dogs allowed on leash|Good for kids|Waterfalls,This is a hike to a two-tiered waterfall located in a fairyland grotto with many large moss covered boulders.,roundtrip,2.4,Southwest Washington
Multnomah Falls,Southwest Washington -- Columbia River Gorge - OR,"1.2 miles, roundtrip",100,611,3.50,Wildflowers/Meadows|Dogs allowed on leash|Waterfalls|Good for kids|Fall foliage|Rivers,"Multnomah Falls is one of the most beautiful (and popular) in the Columbia River Gorge. And that's saying something, since the Oregon side of the Gorge flows with more than 70 cascades of varying heights. Of course, all that flowing water has made it famous, and its proximity to Portland and Vancouver mean Multnomah is one of the most crowded of these waterfalls as well.",roundtrip,1.2,Southwest Washington
Anacortes Community Forest Lands - Eastern Fringe Forest Loop,Puget Sound and Islands -- Bellingham Area,"3.7 miles, roundtrip",520,550,0.00,Wildflowers/Meadows|Mountain views|Wildlife|Dogs allowed on leash|Old growth|Good for kids|Lakes|Fall foliage,"Hike a varied, nearly-four-mile forest loop in the eastern part of the Anacortes Community Forest Lands (ACFL). Appreciate the variety of coniferous and deciduous trees of different sizes and ages. View a few wildflowers in season, and some fall colors later in the year.",roundtrip,3.7,Puget Sound and Islands
Buck Mountain Snowshoe,North Cascades -- Methow/Sawtooth,"11.6 miles, roundtrip",2635,6135,4.00,Mountain views|Wildlife|Summits,A strenuous snowshoe trip leads to Buck Mountain Lookout with contrasting views of forest and fire. Whether the views are worth the effort is up to the traveler!,roundtrip,11.6,North Cascades
Mountain Climbers Trail,South Cascades -- Mount Adams Area,"6.8 miles, roundtrip",2600,8300,5.00,Ridges/passes|Wildlife|Summits|Lakes|Wildflowers/Meadows|Mountain views|Established campsites|Waterfalls|Fall foliage,"Hike through beautiful woods, subalpine meadows and glacial moraines to the Hellroaring Viewpoint. The trail then becomes poorly defined up to Sunrise Camp.",roundtrip,6.8,South Cascades
Monte Cristo Ghost Town,North Cascades -- Mountain Loop Highway,"8.0 miles, roundtrip",700,2800,3.84,Wildflowers/Meadows|Good for kids|Rivers,Hike to an old mining town by heading up a long-closed road along the South Fork Sauk River. This route largely sticks to the old route taken by miners over a century ago.,roundtrip,8,North Cascades
Schaefer Lake,Central Cascades -- Stevens Pass - East,"9.0 miles, roundtrip",3200,5195,3.75,Wildflowers/Meadows|Mountain views|Old growth|Lakes|Fall foliage,Schaefer lake is a good-sized alpine lake surrounded by the peaks of the Chiwawa Ridge. The trail is easy to access via a good road. This trail is lightly traveled; you will likely not see many other people even at the height of the season.,roundtrip,9,Central Cascades
Pete's Creek - Colonel Bob Peak,Olympic Peninsula -- Pacific Coast,"8.2 miles, roundtrip",3500,4510,4.56,Mountain views|Old growth|Summits|Dogs allowed on leash|Rivers,"This peak allows for unrivaled views of the Olympic Peninsula. Located on the southwest side of the park, views include the Pacific Ocean, Grays Harbor, Lake Quinault and the Quinault River, the Olympic rainforest and Mount Olympus.",roundtrip,8.2,Olympic Peninsula
Basin Lake,South Cascades -- White Pass/Cowlitz River Valley,"2.5 miles, one-way",580,6480,2.20,Mountain views|Lakes|Ridges/passes,"The Basin Lake Trail is located just east of the Crystal Mountain Ski Resort in the Norse Peak Wilderness. This is a little-used trail, which traverses some steep sections with eroding gullies where hikers may get queasy depending on their comfort level with exposure.",one-way,5,South Cascades
Marcus Trail,Eastern Washington -- Okanogan Highlands/Kettle River Range,"3.5 miles, one-way",1760,6440,0.00,Wildflowers/Meadows|Dogs allowed on leash,"The Marcus trail starts about 18 miles east of the town of Republic in the Colville National Forest. Starting out for the first 1.5 miles on an old road, this trail gradually climbs until meeting up with the Kettle Crest Trail.",one-way,7,Eastern Washington
Snider Ridge,Olympic Peninsula -- Northern Coast,"11.4 miles, roundtrip",2340,3340,0.00,Wildflowers/Meadows|Mountain views|Ridges/passes,"The Snider Ridge Trail is part of a trail network that runs along the ridge just north of Highway 101 and east of Lake Crescent. Two trailheads access the trail: the Kloshe Nantich trailhead on the west, and the Mount Muller trailhead on the east.",roundtrip,11.4,Olympic Peninsula
Bean Peak,Snoqualmie Region -- Salmon La Sac/Teanaway,"1.4 miles, roundtrip",1143,6743,4.00,Summits,"From Bean Creek Basin, a combination of boot trail and scramble lead to the high point 6743, known as Bean Peak. The 360 degree views provide a great perspective for the peaks of the Teanaway and to the north, the Stuart Range.",roundtrip,1.4,Snoqualmie Region
East Fork Foss - Necklace Valley,Central Cascades -- Stevens Pass - West,"18.0 miles, roundtrip",3400,5000,3.23,Wildflowers/Meadows|Mountain views|Established campsites|Old growth|Lakes|Rivers,"The Necklace Valley makes a wonderful 2-3 night backpack trip for hearty hikers, and rewards with cool alpine lakes to swim and fish in, or just camp beside. Or take a day trip along the East Fork Foss River admire the amazing second-growth tree canopy.",roundtrip,18,Central Cascades
Larch Lake,Central Cascades -- Stevens Pass - East,"12.0 miles, roundtrip",2450,6078,3.50,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Waterfalls|Lakes|Ridges/passes,"There are two ways to get to Larch Lake: either up the Chiwaukum Creek trail to a junction with the trail to Larch Lake, or via Alpine Lakes High Camp (reservations required).",roundtrip,12,Central Cascades
Independence and North Lakes,North Cascades -- Mountain Loop Highway,"7.0 miles, roundtrip",2200,4950,3.92,Wildflowers/Meadows|Ridges/passes|Established campsites|Mountain views|Old growth|Good for kids|Lakes,"Surrounded by a rugged topography cloaked in ancient forest, the setting is as wild as any along the Mountain Loop Highway, except for one noticeable difference. North and Independence lack the crowds that inundate nearby backcountry lakes.",roundtrip,7,North Cascades
Mount Rose,Olympic Peninsula -- Hood Canal,"6.4 miles, roundtrip",3500,4301,3.72,Mountain views|Dogs allowed on leash|Summits|Lakes,Hike a steep trail to a rocky perch with views of Lake Cushman and the southeastern corner of the Olympic Mountains.,roundtrip,6.4,Olympic Peninsula
Lake of the Angels,Olympic Peninsula -- Hood Canal,"7.0 miles, roundtrip",3400,4950,4.54,Wildflowers/Meadows|Mountain views|Wildlife|Waterfalls|Dogs not allowed|Lakes,"Tucked high in the mountains of the Olympic Peninsula, in the appropriately named Valley of Heaven is a breathtaking lake -- the Lake of the Angels. The heavenly goal is accessed by a trail built for more mortal interests. Keep in mind though; if you tackle this trail, it's devilishly difficult. In some places, it requires a vertical climb where falling is not an option. Be prepared, both physically and mentally, for this challenging hike.",roundtrip,7,Olympic Peninsula
Tunnel Creek,Olympic Peninsula -- Hood Canal,"9.4 miles, roundtrip",2450,4500,3.69,Ridges/passes|Established campsites|Mountain views|Old growth|Lakes|Fall foliage,"Tunnel Creek Trail has two trailheads. Nearly all hikers access the trail from the north side where for the first three miles the moderately easy grade is often within earshot of Tunnel Creek. After crossing the South Fork of Tunnel Creek, the route rises at a steeper but manageable grade past Harrison Lakes to 5050 Pass and some nearby viewpoints. The south side trailhead is on the Dosewallips Road. This segment’s notoriously steep grade to 5050 Pass means it is seldom used. Try it and you’ll find out why.",roundtrip,9.4,Olympic Peninsula
Lundin Peak,Snoqualmie Region -- Snoqualmie Pass,"7.6 miles, roundtrip",2900,6057,3.50,Wildflowers/Meadows|Mountain views|Summits|Ridges/passes,This is a steep scramble up Lundin Peak. Gear and prior experience required.,roundtrip,7.6,Snoqualmie Region
Doe Falls,Mount Rainier Area -- Chinook Pass - Hwy 410,"7.25 miles, roundtrip",1720,4320,2.86,Dogs allowed on leash,"The infrequently visited trail to Doe Falls is a good option for hikers preparing for summer hiking. Because of its lower elevation, this hike is snow-free earlier in the year than most in this area, allowing for a pleasant hike to a secluded waterfall early in the season.",roundtrip,7.25,Mount Rainier Area
Jester Mountain,Central Cascades -- Blewett Pass,"4.5 miles, roundtrip",628,5508,0.00,Mountain views|Dogs allowed on leash|Summits,Follow a bootpath along Teanaway Ridge from Iron Bear to a nearby summit; Jester Mountain.,roundtrip,4.5,Central Cascades
Crystal Mountain Loop (Silver King),Mount Rainier Area -- Chinook Pass - Hwy 410,"6.0 miles, roundtrip",2450,6800,3.40,Mountain views|Dogs allowed on leash|Good for kids|Ridges/passes,"This page describes the options for doing a loop hike around the ski slopes, which is the ridge west of Crystal Mountain Boulevard.",roundtrip,6,Mount Rainier Area
Tahoma Creek Suspension Bridge - Emerald Ridge Loop,Mount Rainier Area -- SW - Longmire/Paradise,"14.2 miles, roundtrip",3100,5600,3.12,Mountain views|Dogs not allowed,"Ever wanted to hike the Wonderland Trail, but have time for only a sneak peek? Here’s how to enjoy a sampling of the Wonderland’s spectacular scenery—in a single day!",roundtrip,14.2,Mount Rainier Area
Patterson Mountain,North Cascades -- Methow/Sawtooth,"4.0 miles, roundtrip",1070,3520,3.88,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Good for kids|Fall foliage,"This short hike to the top of Patterson Mountain provides great views across and along the Methow Valley from Twisp to Mazama, while to the west lies the Sawtooth Range.",roundtrip,4,North Cascades
Minotaur Lake,Central Cascades -- Stevens Pass - East,"3.5 miles, roundtrip",1905,5580,3.89,Wildflowers/Meadows|Lakes,"Tucked in a cirque a few miles east of Stevens Pass are Minotaur Lake, its immediate neighbor Theseus and overlooking Labyrinth Mountain. This group of alpine destinations, named for symbols in the Greek mythos, make for a great day hike and an excellent workout.",roundtrip,3.5,Central Cascades
Dungeness National Wildlife Refuge - Dungeness Spit,Olympic Peninsula -- Northern Coast,"11.0 miles, roundtrip",130,130,3.94,Mountain views|Wildlife|Good for kids|Dogs not allowed|Coast,"This narrow strip of land just east of Port Angeles in the Strait of Juan de Fuca is a gorgeous place to explore miles upon miles of sandy beach, spy shorebirds wheeling, and even get a little shot of greenery at the beginning and end of your trip. But remember, while the beach is usually a good place for dogs to get some exercise, this particular one is closed to pups, since it’s a National Wildlife Refuge.",roundtrip,11,Olympic Peninsula
Anacortes Community Forest Lands - Four Summit Loop,Puget Sound and Islands -- Bellingham Area,"6.5 miles, roundtrip",1700,1300,0.00,Wildlife|Summits|Lakes|Coast|Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Waterfalls|Old growth|Fall foliage,"Perhaps you have hiked to each of the four named high points of the Anacortes Community Forest Lands (ACFL), or even combined two of these ""summits"" for a longer hike (e.g. Little Round Top and Sugar Cube, or Mount Erie and Sugarloaf.) So here's a thought: why not do a grand tour that reaches all four named summits in a single loop hike?",roundtrip,6.5,Puget Sound and Islands
Clark Peak,North Cascades -- Pasayten,"6.5 miles, roundtrip",1570,7891,0.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits|Ridges/passes,Reaching the summit of Clark Peak requires going off trail.,roundtrip,6.5,North Cascades
Silver Lake,North Cascades -- Pasayten,"9.2 miles, roundtrip",2800,6950,3.30,Wildflowers/Meadows|Old growth|Lakes,"There are few places where you start your hike at 7,000 feet without any effort. Spectacular views, a dizzying array of wildflowers and larch groves -- this hike is simply gorgeous and a pure Pasayten experience.",roundtrip,9.2,North Cascades
Rock Creek,North Cascades -- Pasayten,"7.1 miles, one-way",1500,5900,2.25,Wildflowers/Meadows|Mountain views|Wildlife,Enjoy views of peaks and wildflowers as you connect the PCT to the Pasayten Wilderness. This trail features abundant wildlife and a comfortable grade.,one-way,14.2,North Cascades
Pipsissewa Trail,Eastern Washington -- Okanogan Highlands/Kettle River Range,"4.2 miles, roundtrip",860,4420,2.75,Wildlife|Fall foliage,"Take in beautiful views of Bonaparte Lake, heady pine forest, and beautiful rock gardens in this Eastern Washington escape.",roundtrip,4.2,Eastern Washington
Larch Creek,North Cascades -- Pasayten,"32.4 miles, roundtrip",3300,7500,3.25,Wildflowers/Meadows|Ridges/passes|Wildlife|Established campsites|Mountain views|Fall foliage|Rivers,"Follow this trail through the heart of the Pasayten Wilderness. Take in all the sights the Wilderness has to offer, including but not limited to: stunning peaks, refreshing creeks, wildflowers galore, and limitless views from ridges.",roundtrip,32.4,North Cascades
Albert Camp,North Cascades -- Pasayten,"8.6 miles, roundtrip",2900,7700,1.60,Wildflowers/Meadows|Ridges/passes|Wildlife|Summits,Connect to Horseshoe Mountain on this scenic ridge trail that takes you through a lodgepole pine forest and some of the most spectacular views in the Pasayten Wilderness.,roundtrip,8.6,North Cascades
Windy Peak Loop,North Cascades -- Pasayten,"14.8 miles, roundtrip",3830,8060,0.00,Wildlife|Summits,"",roundtrip,14.8,North Cascades
Tiffany Lake,North Cascades -- Pasayten,"3.0 miles, roundtrip",200,6750,2.00,Good for kids|Lakes|Established campsites,"This short, family-friendly trail with numerous add-on options visits a pretty lake basin at the easternmost edge of the North Cascades and provides long-distance views of some of Washington's loneliest country.",roundtrip,3,North Cascades
Lake Creek,North Cascades -- Pasayten,"37.8 miles, roundtrip",2600,5800,2.80,Wildflowers/Meadows|Mountain views|Wildlife|Lakes,Visit beautiful Black Lake on your way to Ashnola Pass and the Boundary trail. Enjoy views of peaks and plenty of wildflowers as you make your way through this 2003 burn zone.,roundtrip,37.8,North Cascades
Horseshoe Basin,North Cascades -- Pasayten,"12.0 miles, roundtrip",1550,7200,3.71,Wildflowers/Meadows|Mountain views|Wildlife|Established campsites|Ridges/passes|Dogs allowed on leash,"At the easterly edge of the Pasayten Wilderness, almost touching the Canadian border, lies a truly unique and beautifully remote place. Horseshoe Basin is one of the few places in the Lower 48 to contain arctic tundra and is home to bears, deer and pronghorn sheep, if you know where to look.",roundtrip,12,North Cascades
Seven Pass Loop (Pasayten),North Cascades -- Pasayten,"26.6 miles, roundtrip",4100,7446,5.00,Wildflowers/Meadows|Ridges/passes|Wildlife|Mountain views|Summits|Dogs allowed on leash|Fall foliage|Rivers,"This breathtaking loop offers an undulating ridge walk on the Pacific Crest Trail, a jaunt through the West Fork Pasayten River Valley — one of the priority areas in WTA's Lost Trails Found campaign — and views from the highest fire lookout in the state.",roundtrip,26.6,North Cascades
Hidden Lakes,North Cascades -- Pasayten,"34.2 miles, roundtrip",2300,5800,4.60,Wildflowers/Meadows|Mountain views|Wildlife|Ridges/passes,"The Hidden Lakes are the jewels of the Pasayten Wilderness. Tucked high within the Wilderness, these lakes provide backpackers with opportunities to fish, swim, relax, and view wildlife and wildflowers.",roundtrip,34.2,North Cascades
Golden Stairway,North Cascades -- Pasayten,"6.3 miles, one-way",3550,6850,2.50,Wildflowers/Meadows|Mountain views|Rivers|Ridges/passes,"This is a multi-use trail in a multi-use area. Activities include hiking and riding horses, mountain bikes, motorcycles, along with cattle grazing. The trail follows the West Fork Salmon Creek through a recovering forest burn and climbs the steep meadows of the headwaters to a pass with views to the east and options for ridge hiking to the north or south. In mid-summer the meadows are full of wildflowers.",one-way,12.6,North Cascades
Fir Mountain,Eastern Washington -- Okanogan Highlands/Kettle River Range,"5.2 miles, roundtrip",2174,5674,2.50,Mountain views|Wildlife|Summits|Dogs allowed on leash,"A lightly used trail that can be hard to follow, to the summit of a mountain in Eastern Washington that is the site of a former fire lookout.",roundtrip,5.2,Eastern Washington
Dean Creek,North Cascades -- Pasayten,"3.5 miles, one-way",2500,7100,2.25,,"For confident hikers willing to put in the work for a shortcut to stunning views, Dean Creek trail leading to Bunker Hill is a good option.",one-way,7,North Cascades
Billy Goat Loop,North Cascades -- Pasayten,"50.0 miles, roundtrip",5000,7500,5.00,Ridges/passes|Wildlife|Summits|Lakes|Wildflowers/Meadows|Mountain views|Established campsites|Fall foliage,"In one trip you can traverse over five mountain passes, visit four mountain lakes and groves of larches, and experience some of the most remote edges of the Pasayten Wilderness.",roundtrip,50,North Cascades
Bernhardt Mine,North Cascades -- Pasayten,"5.2 miles, roundtrip",1600,7350,2.75,Wildflowers/Meadows|Dogs allowed on leash,"See first-hand the effects of wildland fire and the forest recovery while hiking up to the sparsely forested ridge and views.This trail provides options for loops hikes and off-trail exploration up peaks or up to a mine site. The old miner's cabin and other wood structures are long gone, but in a few places find the rusted metal remnants of the mining activity.",roundtrip,5.2,North Cascades
Andrews Creek,North Cascades -- Pasayten,"31.0 miles, roundtrip",4000,6700,3.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits|Ridges/passes,Dive deep into the heart of the Pasayten Wilderness on the Andrews Creek trail. Walk along Andrews Creek through a burn zone. Connect to the Boundary trail after passing through a lush meadow of wildflowers.,roundtrip,31,North Cascades
Monument 78 ,North Cascades -- Pasayten,"17.5 miles, roundtrip",1580,5400,0.00,,Monument 78 can be found along the Pacific Crest Trail at the US-Canadian Border.,roundtrip,17.5,North Cascades
Virginia Lilly,Eastern Washington -- Okanogan Highlands/Kettle River Range,"4.0 miles, roundtrip",900,4270,2.60,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits,"This short, sweet loop with spring flowers, old-growth trees and views of the Okanogan Highlands is just waiting to be explored.",roundtrip,4,Eastern Washington
Tiffany Mountain via Freezeout Ridge,North Cascades -- Pasayten,"4.2 miles, roundtrip",1685,8245,4.17,Wildflowers/Meadows|Mountain views|Summits|Good for kids|Ridges/passes,"Start at one of the higher trailheads in the state (6560 feet) and follow the trail even higher. In early summer, if the thinner air doesn't take your breath away, the flowers and views will.",roundtrip,4.2,North Cascades
Sauer's Mountain,Central Cascades -- Stevens Pass - East,"6.0 miles, roundtrip",2000,3116,4.12,,"This popular early-season location is a gorgeous destination to enjoy wildflowers. But be aware that this trail (which is on private property) is made accessible thanks to the property owner who built it and it can often be crowded. If the parking area is full, please try another hike in the area.",roundtrip,6,Central Cascades
Purple Pass,Central Cascades -- Entiat Mountains/Lake Chelan,"15.0 miles, roundtrip",5700,6884,4.00,Wildflowers/Meadows|Ridges/passes|Wildlife|Mountain views|Summits|Lakes,"A long, steady climb takes you from the Stehekin Landing to a high pass more than a mile above the surface of Lake Chelan. Those willing to complete the eight miles and 5,700 feet of climbing needed to reach the pass are rewarded with incredible views of the lake gorge, the Stehekin Valley and peaks stretching from the Cascade Pass area to the Glacier Peak Wilderness.",roundtrip,15,Central Cascades
Goat Lake,South Cascades -- Goat Rocks,"12.0 miles, roundtrip",2000,6600,4.41,Wildflowers/Meadows|Ridges/passes|Wildlife|Mountain views|Dogs allowed on leash|Lakes|Fall foliage,"Travel deep into the Goat Rocks Wilderness and enjoy stunning views of Mount Adams, Mount St. Helens, Jordan Basin, and Goat Lake.",roundtrip,12,South Cascades
Seattle Park,Mount Rainier Area -- NW - Carbon River/Mowich,"11.0 miles, roundtrip",1500,6400,3.14,Wildflowers/Meadows|Mountain views|Waterfalls|Old growth|Dogs not allowed|Ridges/passes,"Venture into Seattle Park, a wilder, more remote version of more popular Spray Park, and enjoy verdant meadows and rugged scenery.",roundtrip,11,Mount Rainier Area
Pasayten Drive,North Cascades -- Methow/Sawtooth,"1.2 miles, one-way",1320,4300,0.00,Dogs allowed on leash,"This 10-mile motorcycle trail has an interesting section for hikers, a steep 1.2 mile climb that provides access to the east end of the Foggy Dew Ridge Trail, with its remote feel.",one-way,2.4,North Cascades
American Lake,Mount Rainier Area -- Chinook Pass - Hwy 410,"15.5 miles, roundtrip",2759,5858,3.30,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Ridges/passes|Lakes,"Hike a portion of the Pacific Crest Trail through meadows of wildflowers and past sparkling lakes with views of Nelson Ridge, Mount Aix and Mount Rainier. This outing makes for a great day hike or backpacking trip.",roundtrip,15.5,Mount Rainier Area
Crow Creek Snowshoe,South Cascades -- White Pass/Cowlitz River Valley,"8.5 miles, one-way",2300,4500,0.00,Dogs allowed on leash|Rivers,A snowshoe route accessed from the Crow Creek Sno-Park.,one-way,17,South Cascades
Circle Peak,North Cascades -- Mountain Loop Highway,"16.0 miles, roundtrip",2800,5983,1.80,Wildflowers/Meadows|Mountain views|Summits|Ridges/passes,"A lovely-but-rough hike that uses established trail and old logging roads, the Circle Peak Trail has seen a lot of maintenance from the Darrington Ranger District in the past several summers. Please note that the trailhead is currently inaccessible due to washouts on the White Chuck Road.",roundtrip,16,North Cascades
Chiwaukum Creek,Central Cascades -- Stevens Pass - East,"12.0 miles, roundtrip",1550,3350,2.00,Wildflowers/Meadows|Established campsites,Hike along a raucous waterway to a gorgeous alpine meadow with hiker and stock camps available. The perfect basecamp for multi-night adventures.,roundtrip,12,Central Cascades
Thompson Lake via Granite Creek Trail,Snoqualmie Region -- North Bend Area,"14.2 miles, roundtrip",3400,4200,4.22,Mountain views|Dogs allowed on leash|Lakes|Rivers,"Hike a well-built trail to a beautiful, quiet, forested lake at the edge of the Alpine Lakes Wilderness.",roundtrip,14.2,Snoqualmie Region
Hurricane Hill,Olympic Peninsula -- Northern Coast,"3.2 miles, roundtrip",650,5757,4.23,Wildflowers/Meadows|Mountain views|Wildlife|Ridges/passes|Dogs not allowed|Summits|Good for kids,"Whether you need a day hike for the whole family or the perfect trail to round out your first visit to Olympic National Park, Hurricane Hill is the answer. You can even use this trail as the jumpoff (or ending point) to a variety of longer hikes out of the Elwha River Valley.",roundtrip,3.2,Olympic Peninsula
Coal Lake,North Cascades -- Mountain Loop Highway,"0.6 miles, roundtrip",44,3420,3.50,Dogs allowed on leash|Good for kids|Lakes,Visit an alpine lake via a short walk from the trailhead. A washout before the official trailhead adds 0.2 miles each way to your walk.,roundtrip,0.6,North Cascades
Crow Lake Way,Mount Rainier Area -- Chinook Pass - Hwy 410,"12.4 miles, roundtrip",3340,5850,2.00,Wildflowers/Meadows|Mountain views|Wildlife|Lakes|Dogs allowed on leash,"Are you looking for an early summer, dry-side, flowered workout? The eastern third of this trail is for you, with its many flowers and increasing views over the American River valley. Just be ready for the stark nature of the fire ravaged forest.",roundtrip,12.4,Mount Rainier Area
Kukutali Preserve,Puget Sound and Islands -- Bellingham Area,"2.2 miles, roundtrip",200,230,4.29,Wildlife|Old growth|Good for kids|Dogs not allowed|Fall foliage|Coast,"Thanks to a partnership between Washington State Parks and the Swinomish Indian Tribal Community, Kukutali Preserve in Similk Bay near La Conner opened to the public on June 16, 2014. Believed to be the first park in the United States to be co-owned and managed by a tribe and another government, management of the area focuses on conservation and research, public education and limited recreational use, including hiking!",roundtrip,2.2,Puget Sound and Islands
Upper Lena Lake,Olympic Peninsula -- Hood Canal,"14.0 miles, roundtrip",3900,4600,4.20,Wildflowers/Meadows|Mountain views|Wildlife|Dogs not allowed|Established campsites|Waterfalls|Old growth|Lakes,"The trail to Lena Lake is a pretty, and popular, weekend destination. But hearty hikers and backpackers who venture to Upper Lena Lake will leave the crowds behind and experience a little bit of nirvana.",roundtrip,14,Olympic Peninsula
Yellow Aster Butte,North Cascades -- Mount Baker Area,"7.5 miles, roundtrip",2550,6150,4.41,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Fall foliage|Ridges/passes,"Find supreme wildflower gardens and a high-country plateau speckled with shimmering tarns-but that's not all. Spectacular alpine vistas abound too-of Baker, Shuksan, and all those rugged and craggy peaks straddling the 49th parallel. Yellow Aster Butte may be a misnomer (those yellow-petaled delights are actually daisies), but you definitely don't want to miss hiking here.",roundtrip,7.5,North Cascades
Old Sauk River Trail,North Cascades -- Mountain Loop Highway,"6.0 miles, roundtrip",150,800,2.97,Wildlife|Old growth|Good for kids|Dogs allowed on leash|Fall foliage|Rivers,"Take a hike within sight and sound of the wild Sauk River--part of the Skagit Wild and Scenic River System established to maintain the free flowing nature of Washington's rivers. You'll wander through a forest of moss-covered maple, cedar and fir, listening for wildlife and the sound of the river.",roundtrip,6,North Cascades
Aasgard Pass,Central Cascades -- Leavenworth Area,"12.2 miles, roundtrip",4400,7800,4.25,Ridges/passes|Mountain views|Dogs not allowed|Waterfalls|Lakes|Fall foliage|Rivers,"This “shortcut” to the Enchantments Core Zone refers only to mileage. As far as miles per hour goes, Aasgard may be one of the slowest hikes you attempt. Achieving the pass is a thigh-burning, chest-bursting, eye-popping endeavor that offers as many extraordinary views as beads of sweat that will fall from your brow as you ascend nearly 2000 feet in just three-quarters of a mile.",roundtrip,12.2,Central Cascades
Davis Peak,Snoqualmie Region -- Cle Elum Area,"10.0 miles, roundtrip",4000,6400,4.12,Wildflowers/Meadows|Mountain views|Ridges/passes,A challenging summit with a big payoff: a 360-degree panorama of more than 10 Cascades peaks.,roundtrip,10,Snoqualmie Region
Nada Lake,Central Cascades -- Leavenworth Area,"10.6 miles, roundtrip",3600,5200,3.57,Mountain views|Dogs not allowed|Lakes|Established campsites,"The Snow Lakes trail is known mostly as the long, gradual way into the Enchantments; but Nada Lake (and nearby Snow Lake) is a worthwhile - if deceptively grueling - destination in its own right. The narrow isthmus between the lakes offers a majestic view across the water to the towering heights of McClellan Peak.",roundtrip,10.6,Central Cascades
Tonga Ridge / Mount Sawyer,Central Cascades -- Stevens Pass - West,"8.0 miles, roundtrip",1200,5495,3.58,Wildflowers/Meadows|Ridges/passes|Dogs allowed on leash|Established campsites|Mountain views|Summits|Good for kids|Fall foliage,"An up and down meandering trail that leads through open forest, wildflower meadows and a side trip to some fantastic views. The road up does most of the work, so the climb is not too long, and can be easily done by most hikers.",roundtrip,8,Central Cascades
Surprise and Glacier Lakes,Central Cascades -- Stevens Pass - West,"11.0 miles, roundtrip",2700,4900,3.34,Mountain views|Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Lakes,"From towering old-growth giants to placid lakes with craggy mountain views, this hike has everything you want in a trail. Put this one on your list of places to explore along Highway 2.",roundtrip,11,Central Cascades
Snow Lakes,Central Cascades -- Leavenworth Area,"14.0 miles, roundtrip",4300,5500,3.65,Ridges/passes|Wildlife|Dogs not allowed|Lakes|Rivers|Wildflowers/Meadows|Mountain views|Established campsites|Waterfalls,"The Snow Lakes trail is known mostly as the long, gradual way into the Enchantments; but it is a worthwhile - if deceptively grueling - destination in its own right. The narrow isthmus between the lakes offers a majestic view across the water to the towering heights of McClellan Peak.",roundtrip,14,Central Cascades
Skyline Divide,North Cascades -- Mount Baker Area,"9.0 miles, roundtrip",2500,6563,4.57,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Ridges/passes,"The Skyline Divide is a 6000-foot-high ridgeline extension of Mount Baker that transforms itself into a summertime paradise of unrivaled mountain views and unending wildflower fields, a trail that deposits you just 3.5 miles from the summit itself.",roundtrip,9,North Cascades
